Participant,Session,Gender,Age,Condition,Block,Image,Type,Count,Learn_Block,Learn_Trial,Learn_Corr,Learn_RT,NF_Trial,Memory_Trial,Seen_Unseen,Memory_RT,NF_Corr,NF_RT,Memory_Corr,Avg_Block
{{181}},SONA,F,20.1,Early,NF,1991,Exception,7,NA,NA,NA,NA,24,NA,NA,NA,0,0.719,NA,0
{{181}},SONA,F,20.1,Early,NF,9919,RuleFollowing,8,NA,NA,NA,NA,25,NA,NA,NA,1,0.752,NA,0
{{181}},SONA,F,20.1,Early,NF,1199,Exception,8,NA,NA,NA,NA,26,NA,NA,NA,0,0.697,NA,0
{{181}},SONA,F,20.1,Early,NF,1199,Exception,9,NA,NA,NA,NA,27,NA,NA,NA,0,0.601,NA,0
{{181}},SONA,F,20.1,Early,NF,1991,Exception,10,NA,NA,NA,NA,28,NA,NA,NA,1,0.416,NA,0
{{181}},SONA,F,20.1,Early,NF,9191,RuleFollowing,9,NA,NA,NA,NA,29,NA,NA,NA,1,0.864,NA,0
{{181}},SONA,F,20.1,Early,NF,1991,Exception,11,NA,NA,NA,NA,30,NA,NA,NA,1,0.549,NA,0
{{181}},SONA,F,20.1,Early,NF,1911,RuleFollowing,10,NA,NA,NA,NA,31,NA,NA,NA,1,0.678,NA,0
{{181}},SONA,F,20.1,Early,NF,1911,RuleFollowing,11,NA,NA,NA,NA,32,NA,NA,NA,1,0.464,NA,0
{{181}},SONA,F,20.1,Early,NF,1991,Exception,12,NA,NA,NA,NA,33,NA,NA,NA,0,0.827,NA,0
{{181}},SONA,F,20.1,Early,NF,9191,RuleFollowing,12,NA,NA,NA,NA,34,NA,NA,NA,1,1.33,NA,0
{{181}},SONA,F,20.1,Early,NF,1911,RuleFollowing,13,NA,NA,NA,NA,35,NA,NA,NA,1,1.049,NA,1
{{181}},SONA,F,20.1,Early,NF,1199,Exception,13,NA,NA,NA,NA,36,NA,NA,NA,0,1.114,NA,1
{{181}},SONA,F,20.1,Early,NF,1119,Prototype,12,NA,NA,NA,NA,37,NA,NA,NA,0,1.064,NA,0
{{181}},SONA,F,20.1,Early,NF,9991,Prototype,13,NA,NA,NA,NA,38,NA,NA,NA,1,1.502,NA,1
{{181}},SONA,F,20.1,Early,NF,9119,RuleFollowing,14,NA,NA,NA,NA,39,NA,NA,NA,0,0.923,NA,1
{{181}},SONA,F,20.1,Early,NF,1119,Prototype,14,NA,NA,NA,NA,40,NA,NA,NA,0,0.969,NA,1
{{181}},SONA,F,20.1,Early,NF,9191,RuleFollowing,15,NA,NA,NA,NA,41,NA,NA,NA,1,1.05,NA,1
{{181}},SONA,F,20.1,Early,NF,9119,RuleFollowing,16,NA,NA,NA,NA,42,NA,NA,NA,1,0.645,NA,1
{{181}},SONA,F,20.1,Early,NF,9991,Prototype,15,NA,NA,NA,NA,43,NA,NA,NA,1,0.781,NA,1
{{181}},SONA,F,20.1,Early,NF,1991,Exception,14,NA,NA,NA,NA,44,NA,NA,NA,1,1.144,NA,1
{{181}},SONA,F,20.1,Early,NF,1199,Exception,15,NA,NA,NA,NA,45,NA,NA,NA,1,0.538,NA,1
{{181}},SONA,F,20.1,Early,NF,9991,Prototype,16,NA,NA,NA,NA,46,NA,NA,NA,1,0.681,NA,1
{{181}},SONA,F,20.1,Early,NF,1991,Exception,16,NA,NA,NA,NA,47,NA,NA,NA,1,0.603,NA,1
{{181}},SONA,F,20.1,Early,Memory,9991,Prototype,1,NA,NA,NA,NA,NA,0,Seen,2.707,NA,NA,0,0
{{181}},SONA,F,20.1,Early,Memory,9199,RuleFollowing,1,NA,NA,NA,NA,NA,1,Unseen,0.502,NA,NA,1,0
{{181}},SONA,F,20.1,Early,Memory,1991,Exception,1,NA,NA,NA,NA,NA,2,Seen,2.135,NA,NA,0,0
{{181}},SONA,F,20.1,Early,Memory,9999,Prototype,2,NA,NA,NA,NA,NA,3,Seen,1.068,NA,NA,0,0
{{181}},SONA,F,20.1,Early,Memory,1199,Exception,2,NA,NA,NA,NA,NA,4,Seen,0.682,NA,NA,1,0
{{181}},SONA,F,20.1,Early,Memory,1999,Exception,3,NA,NA,NA,NA,NA,5,Unseen,0.569,NA,NA,1,0
{{181}},SONA,F,20.1,Early,Memory,1991,Exception,4,NA,NA,NA,NA,NA,6,Seen,0.853,NA,NA,1,0
{{181}},SONA,F,20.1,Early,Memory,9119,RuleFollowing,2,NA,NA,NA,NA,NA,7,Seen,0.67,NA,NA,0,0
